word,translation
precautions, پیش بینی | موارد احتیاط | احتیاط کردن
intricate, پیچیده
astonish, شگفت زده کردن
consultancy, مشاوره
peripheral, محیطی | پیرامونی
noivce, مبتدی | تازه کار
instinct, غریزه
dilemmas, دوراهی | وضع دشوار
occupational, شغلی
trajectory, مسیر | خط سیر
fallacy, سفسطه | غلظ | مغالطه
advent, ظهور
redeployment, استقرار مجدد
seizing, تصرف کردن | تصرف | توقیف
intuition, شهود | بینش | بصیرت
corridor, راهرو
lorry, کامیون | بارکش
lorries, کامیون ها
canteen, غذاخوری
vague, مبهم
triumph, پیروزی | پیروز شدن
undertaking, تعهد
play, در حالت اسم: نمایش و نمایشنامه
ardent, پرشور
consoling, دلداری دادن
resilience, انعطاف پذیری 
attic, اتاق زیر شیروانی
pupils, دانش آموزان | مردمک چشم ها
heir, وارث
imminent, قریب الوقوع
chalk, گچ
priory, مقدماتی
gleaming, درخشان
slop, شیب
steep slop, شیب تند
track, مسیر | راه | دنبال کردن
cemetry, قبرسان
ubiquitous, همه جا حاضر | موجود در همه جا
coral, مرجان
gut, روده
panache, تسلط | خودنمایی
knack, مهارت | استعداد
enthralling, فریبنده | اسیر کردن | شیفته کردن
potent, قوی | نیرومند
teeming, شلوغ | فراوان بودن
plea, درخواست | تقاضا | بهانه
luminescent, شب تاب
distaste, بد آمدن | تنفر | بیزاری
revered, مورد احترام
emprical, تجربی
cumulatively, به صورت جمعی
impartiality, بی طرف | انصاف
conceptual, ادراکی مفهومی
mounds, تپه ها
distortion, تحریف
aqueduct, قنات
horticulture, باغبانی
argonomist, متخصص کشاورزی
yarns, نخ ها | الیاف
unqualled, بی نظیر
oars, پارو ها | پاروزن ها
masts, دکل ها
quay, اسکله
compassess, قطب نما ها
glaciers, یخچال های قطبی
hide, به شکل اسم به معنی چرم و پوست
cognergated, اجتماع کردن
elevations, ارتفاعات
antlers, شاخ | شاخ گوزن
herbivorous, (حیوان) گیاهخوار
infestation, آلودگی
presumably, احتمالا
dull, کسل کننده
ascertain, مشخص کردن | ثابت کردن
plausible, قابل قبول
acute, حاد | تند
hues, رنگ ها
abundant, فراوان
exquisitely, به طرز عالی
affluent, مرفه
antiseptic, ضد عفونی کننده
succumbing, تسلیم شدن
pristine, بکر | تروتازه
intricately, پیچیده
aristocrats, اشراف
captivating, فریبنده
twig, شاخه
vigorous, شدید | قوی
substantial, قابل توجه
neglect, بی توجهی
plumb, شاقول
rod, میله
deviated, منحرف شده
surveying, نقشه برداری
patron, حامی | پشتیبان | مشتری
circuit, مدار
err, در اشتباه بودن | خطا کردن | گمراه بودن
patio, پاسیو
slums, محله های فقیر نشین | خیابان کثیف |‌محله کثیف
trench, سنگر | گودال | خندق
beams, میله
carriages, کالسکه ها
cathedrals, کلیسای جامع | کلیساها
fortress, قلعه
spectacles, عینک
depot, انبار | مخزن
conopies, سایبان ها
inaugurated, افتتاح شدن | گشودن
sum, مجموع | مبلغ
penniless, بی پول
fugitive, فراری | پناهنده
preposterous, مضحک | مسخره
firmly, محکم
courtiers, درباریان
chivalry, جوانمردی
bedchamber, اتاق خواب
pacy, سریع
prose, نثر
deftly, ماهرانه
fierce, شدید | خشمگین | درنده
even-handed, منصفانه | بیطرف
tantalizing, وسوسه انگیز
wit, شوخ طبعی
subterfuge, زیرپا گذاشتن | طفره
monarch, پادشاه
niggle, نگرانی کم | خرده گرفتن 
conspiracy, خیانت | طوطئه
conviction, عقیده | محکومیت
religious conviction, اعتقاد دینی
litter, معانیش زیاده | https://dictionary.cambridge.org/dictionary/english/litter
exterior, بیرونی | ظاهر
shipwrecks, کشتی های غرق شده | غرق شدن کشتی
rear, پرورش دادن | عقب | پشت | تربیت کردن
spas, چشمه های معدنی | آب گرم
erect, برپا کردن | ایستاده
ditch, خندق | راه آب | حفره
to hoist, بالا بردن
boulder, تخته سنگ
wicker, حصیری
planks, تخته ها
grooved, شیار دار | شیاردار کردن | خط انداختن
oxen, گاو نر
hauled, کشیدن | هل دادن
crescent, هلال | هلالی شکل
driud, کاهن | کشیش
judicial, قضایی | وابسته به دادگاه
unearth, از زیر خاک بیرون کشیدن | حفاری کردن
feat, شاهکار
prodigious, شگفت انگیز
constrants, محدودیت ها
discriminate, محروم کردن
depriving, محروم کردن
embodied, جسم دادن | مجسم کردن
catastrophe, فاجعه
rigour, سخت گیری | ظلم | دقت زیادن
prominent, برجسته
basins, تشتک | لگن | حوضه ها
practitioners, تمرین کنندگان | شاغلان مقام طبابت
resemblance, شباهت
distend, باد کردن | متورم شدن
compensate, جبران کردن
pursuit, تعقیب
nocturnal, شبانه
pouch, کیسه
dwindling, رو به کاهش
nuanced, ظریف
predominatly, عمدتا
subterranean, زیر زمینی
encalves, مناطق تحت پوشش
exuberant, پرنشاط | پر انرژی
invaluable, ارزشمند
stork, لک لک
strained, تحت فشار قرار گرفته
pest, آفت
pests, آفات
subsistence, امرارمعاش
paddy, شالیزار
insectivorous, حشره خوار
suppressors, سرکوبگران
droppings, فضولات
forage, از جایی به جای دیگه گشتن معمولا برای غذا
citrus, مرکبات
roost, لانه کردن | لانه
mutually, متقابل
consistent, سازگار | ثبت نام | استوار
faculty, دانشکده
parish, محله | اهل محل
ledgers, دفتر کل | سنگ پهن روی گور
censuses, سرشماری | آمار
medicore, حدوسط
industriousness, سخت کوشی
chastised, توبیخ شد | تنبیه کردن
ordinance, امر | فرمان | حکم
defiance, سرپیچی | مخالفت | مبارزه طلبی
tentative, آزمایشی | امتحانی
incentives, مشوق | انگیزه
produce, produce | محصول
pesticides, آفت کش
stem, ساقه | تنه
aromatic, معطر | خوشبو
seedling, نهال | جوانه | چوتنه کوچ درخت
retention, حفظ | نگهداری
satellites, ماهواره ها
altitude, بلندی | ارتفاع
taxonomies, علم طبقه بندی | طبقه بندی ها
constellation, صورت فلکی
constellations of satellites, شبکه ایی از ماهواره ها | مجموعه ایی از ماهواره ها
alleviate, کم کردن | تخفیف دادن
poaching, شکار غیر قانونی
cement, سیمان
aggravating, تشدید کننده
scramble, تلاش | تقلا | کوشش
emergence, ظهور
susceptible, مستعد
adhesive, چسب | چسبناک
byproduct, محصول جانبی
to lit, روشن کردن
rekindle, دوباره روشن کردن
plough|plow, شخم زدن | گاو آهن
loam, خاک گلدانی
invertebrate, بی مهرگان
viable, قابل اجرا
kerosene, نفت سفید
intuitively, بطور شهودی
analogy, مقایسه | مقایسه چیز های شبیه
pedagogical, آموزشی
inmates, زندانیان
zeal, غیرت | تعصب
lush, سرسبز
sought, past tense of seek
adolescents, نوجوانان
intriguing, جذاب | دسیسه کردن
Placebo, دارونما
subtle, دقیق | ظریف
intestines, روده ها | روده
lead, lead | سرب
prowled, پرسه زدن | در پی شکار گشتن
eradicated, ریشه کن شد | از بین بردن
eradicate, ریشه کن کردن
retaliation, تلافی | عمل متقابل
condones, می بخشد | چشم پوشی کردن از
detour, انحراف | انحرافی
hampered, مانع شد | مانع شدن از
emboldened, جسور شده
digitaries, بازرگان
concerted, هماهنگ شده است
decieving, فریبنده | فریبا | فریب دادن
inadvertently, ناخواسته
unduly, بی جهت | بیخود | ناروا
tremendous, عظیم | فوق العاده
empirically, بصورت تجربی
reside, ساکن شدن | سکونت کردن | مستقر شدن
laudable, قابل ستایش
remedies, درمان ها | چاره | اصلاح کردن
panacea, نوش دارو 
immense, بسیار زیاد
inadequate, ناکافی
inhibits, مهار کردن | مانع شدن
perspiration, تعریق | عرق کردن
palpitations, تپش قلب
